#,OFFENSE,BOND,WARRANT #,FILED BY,JAIL ID,ARREST DT,RELEASE DT,RACE_SEX,days_served,ARREST YEAR,RACE,SEX
3,DRIVING-NO DRIVERS LICENSE,0,101175,PAPD,96668,2008-02-24,2008-03-05,BM,10.0,2008,B,M
4,STOP LIGHT- RUNNING,0,101175,PAPD,96668,2008-02-24,2008-03-05,BM,10.0,2008,B,M
5,FAILURE TO APPEAR,100,9132888,PAPD,96668,2008-02-24,2008-03-05,BM,10.0,2008,B,M
6,DRIVING-NO DRIVERS LICENSE,100,132888,PAPD,96668,2008-02-24,2008-03-05,BM,10.0,2008,B,M
7,FAILURE TO MNTN FINAN RESP,100,132888,PAPD,96668,2008-02-24,2008-03-05,BM,10.0,2008,B,M
8,VEH-LICENSE PLATE OFFENSE,100,132888,PAPD,96668,2008-02-24,2008-03-05,BM,10.0,2008,B,M
1,DRUG PARAPHERNALIA-POSS,25,0,PAPD,98672,2008-02-24,2008-02-28,WM,4.0,2008,W,M
2,CITY ORDINANCE,25,0,PAPD,98672,2008-02-24,2008-02-28,WM,4.0,2008,W,M
1,DRIVING-WHILE LIC INVALID,0,120413,PAPD,194377,2008-02-24,2008-02-24,BM,0.0,2008,B,M
2,FAILURE TO MNTN FINAN RESP,0,120413,PAPD,194377,2008-02-24,2008-02-24,BM,0.0,2008,B,M
3,DRIVING-EXPIRED LIC. PLATE,0,120413,PAPD,194377,2008-02-24,2008-02-24,BM,0.0,2008,B,M
4,DEFECTIVE EQUIPMENT,0,89571,PAPD,194377,2008-02-24,2008-02-24,BM,0.0,2008,B,M
5,FAILURE TO MNTN FINAN RESP,0,97625,PAPD,194377,2008-02-24,2008-02-24,BM,0.0,2008,B,M
6,FAILURE TO MNTN FINAN RESP,0,106402,PAPD,194377,2008-02-24,2008-02-24,BM,0.0,2008,B,M
7,DRIVING-EXPIRED LIC. PLATE,0,106402,PAPD,194377,2008-02-24,2008-02-24,BM,0.0,2008,B,M
1,PUBLIC INTOXICATION,25,0,PAPD,277695,2008-02-24,2008-02-24,BM,0.0,2008,B,M
1,CITY ORDINANCE,0,135384,PAPD,278014,2008-02-24,2008-02-24,WF,0.0,2008,W,F
1,PUBLIC INTOXICATION,25,0,PAPD,278618,2008-02-24,2008-02-24,WM,0.0,2008,W,M
1,FAILURE TO APPEAR,25,9144715,PAPD,136514,2008-02-25,2008-02-26,BM,1.0,2008,B,M
2,FAILURE TO APPEAR,25,7119141,PAPD,136514,2008-02-25,2008-02-26,BM,1.0,2008,B,M
3,DRIVING-NO MVI STICKER,25,144715,PAPD,136514,2008-02-25,2008-02-26,BM,1.0,2008,B,M
4,FAILURE TO APPEAR,25,8119141,PAPD,136514,2008-02-25,2008-02-26,BM,1.0,2008,B,M
5,FAILURE TO APPEAR,25,8135775,PAPD,136514,2008-02-25,2008-02-26,BM,1.0,2008,B,M
6,FAILURE TO APPEAR,25,9135775,PAPD,136514,2008-02-25,2008-02-26,BM,1.0,2008,B,M
1,FAILURE TO APPEAR,25,9141705,PAPD,239379,2008-02-25,2008-03-05,BF,9.0,2008,B,F
2,PUBLIC INTOXICATION,25,141705,PAPD,239379,2008-02-25,2008-03-05,BF,9.0,2008,B,F
3,FAILURE TO APPEAR,25,9145428,PAPD,239379,2008-02-25,2008-03-05,BF,9.0,2008,B,F
4,DRIVING-WHILE LIC INVALID,25,145428,PAPD,239379,2008-02-25,2008-03-05,BF,9.0,2008,B,F
5,STOP LIGHT- RUNNING,25,145428,PAPD,239379,2008-02-25,2008-03-05,BF,9.0,2008,B,F
6,FAILURE TO MNTN FINAN RESP,25,145428,PAPD,239379,2008-02-25,2008-03-05,BF,9.0,2008,B,F
1,FAILURE TO APPEAR,25,9148453,PAPD,278677,2008-02-25,2008-03-04,BM,8.0,2008,B,M
2,DRIVING-NO DRIVERS LICENSE,25,148453,PAPD,278677,2008-02-25,2008-03-04,BM,8.0,2008,B,M
3,DRIVING-NO MVI STICKER,25,148453,PAPD,278677,2008-02-25,2008-03-04,BM,8.0,2008,B,M
4,FAILURE TO MNTN FINAN RESP,25,148453,PAPD,278677,2008-02-25,2008-03-04,BM,8.0,2008,B,M
5,DRIVING-EXPIRED LIC. PLATE,25,148453,PAPD,278677,2008-02-25,2008-03-04,BM,8.0,2008,B,M
1,FAILURE TO APPEAR,25,9127684,PAPD,278678,2008-02-25,2008-02-25,BM,0.0,2008,B,M
2,CITY ORDINANCE,25,127684,PAPD,278678,2008-02-25,2008-02-25,BM,0.0,2008,B,M
3,DRIVING-NO MVI STICKER,25,127684,PAPD,278678,2008-02-25,2008-02-25,BM,0.0,2008,B,M
4,FAILURE TO MNTN FINAN RESP,25,127684,PAPD,278678,2008-02-25,2008-02-25,BM,0.0,2008,B,M
1,FAILURE TO APPEAR,25,9148715,PAPD,21433,2008-02-26,2008-02-29,WM,3.0,2008,W,M
2,PUBLIC INTOXICATION,25,148715,PAPD,21433,2008-02-26,2008-02-29,WM,3.0,2008,W,M
1,FAILURE TO APPEAR,25,9135650,PAPD,24102,2008-02-26,2008-02-28,BM,2.0,2008,B,M
2,FAILURE TO APPEAR,25,9136094,PAPD,24102,2008-02-26,2008-02-28,BM,2.0,2008,B,M
3,CITY ORDINANCE,25,135650,PAPD,24102,2008-02-26,2008-02-28,BM,2.0,2008,B,M
4,CITY ORDINANCE,25,136094,PAPD,24102,2008-02-26,2008-02-28,BM,2.0,2008,B,M
5,DRUG PARAPHERNALIA-POSS,25,136094,PAPD,24102,2008-02-26,2008-02-28,BM,2.0,2008,B,M
1,FAILURE TO APPEAR,0,9084270,PAPD,71011,2008-02-26,2008-02-26,BM,0.0,2008,B,M
2,TRAF OFF-MOVING-NO SEATBELT,0,115616,PAPD,71011,2008-02-26,2008-02-26,BM,0.0,2008,B,M
3,FAILURE TO APPEAR,0,9085337,PAPD,71011,2008-02-26,2008-02-26,BM,0.0,2008,B,M
4,STOP LIGHT- RUNNING,0,85337,PAPD,71011,2008-02-26,2008-02-26,BM,0.0,2008,B,M
5,FAILURE TO MNTN FINAN RESP,0,85337,PAPD,71011,2008-02-26,2008-02-26,BM,0.0,2008,B,M
1,DRIVING-WHILE LIC INVALID,0,113487,PAPD,94512,2008-02-26,2008-03-03,WM,6.0,2008,W,M
2,TRAFFIC OFFENSE,0,113487,PAPD,94512,2008-02-26,2008-03-03,WM,6.0,2008,W,M
3,FAILURE TO MNTN FINAN RESP,0,113487,PAPD,94512,2008-02-26,2008-03-03,WM,6.0,2008,W,M
1,TRAF OFF-MOVING-NO SEATBELT,0,102656,PAPD,198982,2008-02-26,2008-03-04,BM,7.0,2008,B,M
2,NO LIABILITY INSURANCE,0,102656,PAPD,198982,2008-02-26,2008-03-04,BM,7.0,2008,B,M
3,DRIVING-EXPIRED LIC. PLATE,0,102656,PAPD,198982,2008-02-26,2008-03-04,BM,7.0,2008,B,M
1,PUBLIC INTOXICATION,25,0,PAPD,278685,2008-02-26,2008-02-26,WM,0.0,2008,W,M
1,FAILURE TO APPEAR,25,9116315,PAPD,221038,2008-02-27,2008-02-27,BM,0.0,2008,B,M
2,TRAF OFF-MOVING-NO SEATBELT,25,116315,PAPD,221038,2008-02-27,2008-02-27,BM,0.0,2008,B,M
3,FAILURE TO APPEAR,25,9146695,PAPD,221038,2008-02-27,2008-02-27,BM,0.0,2008,B,M
4,FAILURE TO MNTN FINAN RESP,25,146695,PAPD,221038,2008-02-27,2008-02-27,BM,0.0,2008,B,M
1,PUBLIC INTOXICATION,25,0,PAPD,33573,2008-02-28,2008-02-29,BM,1.0,2008,B,M
1,CITY ORDINANCE,0,140934,PAPD,132990,2008-02-28,2008-02-28,BM,0.0,2008,B,M
1,FAILURE TO APPEAR,0,9061056,PAPD,171840,2008-02-28,2008-03-05,BM,6.0,2008,B,M
2,CITY ORDINANCE,0,61056,PAPD,171840,2008-02-28,2008-03-05,BM,6.0,2008,B,M
3,FAILURE TO APPEAR,0,9040021,PAPD,171840,2008-02-28,2008-03-05,BM,6.0,2008,B,M
4,NO LIABILITY INSURANCE,0,31811,PAPD,171840,2008-02-28,2008-03-05,BM,6.0,2008,B,M
1,SPEEDING,0,121770,PAPD,265201,2008-02-28,2008-02-29,BF,1.0,2008,B,F
1,FAILURE TO APPEAR,25,9144687,PAPD,278751,2008-02-28,2008-02-28,WF,0.0,2008,W,F
2,DRIVING-NO MVI STICKER,25,144687,PAPD,278751,2008-02-28,2008-02-28,WF,0.0,2008,W,F
3,NO LIABILITY INSURANCE,25,144687,PAPD,278751,2008-02-28,2008-02-28,WF,0.0,2008,W,F
4,DRIVING-EXPIRED LIC. PLATE,25,144687,PAPD,278751,2008-02-28,2008-02-28,WF,0.0,2008,W,F
1,FAILURE TO APPEAR,25,9147751,PAPD,278769,2008-02-28,2008-02-29,BM,1.0,2008,B,M
2,SPEEDING,25,147751,PAPD,278769,2008-02-28,2008-02-29,BM,1.0,2008,B,M
1,PUBLIC INTOXICATION,25,0,PAPD,5422,2008-02-29,2008-03-04,BM,4.0,2008,B,M
1,FAILURE TO APPEAR,25,9142765,PAPD,37619,2008-02-29,2008-03-01,BM,1.0,2008,B,M
2,DRUG PARAPHERNALIA-POSS,25,142765,PAPD,37619,2008-02-29,2008-03-01,BM,1.0,2008,B,M
1,TRAF OFF-MOVING-NO SEATBELT,0,130351,PAPD,82761,2008-02-29,2008-03-02,BM,2.0,2008,B,M
1,DISORDERLY CONDUCT,100,0,PAPD,149857,2008-02-29,2008-03-04,WM,4.0,2008,W,M
1,FAILURE TO APPEAR,25,9144998,PAPD,181837,2008-02-29,2008-02-29,BM,0.0,2008,B,M
2,DRIVING-WHILE LIC INVALID,25,144998,PAPD,181837,2008-02-29,2008-02-29,BM,0.0,2008,B,M
3,FAILURE TO MNTN FINAN RESP,25,144998,PAPD,181837,2008-02-29,2008-02-29,BM,0.0,2008,B,M
4,SPEEDING,25,144998,PAPD,181837,2008-02-29,2008-02-29,BM,0.0,2008,B,M
1,PUBLIC INTOXICATION,25,0,PAPD,278770,2008-02-29,2008-03-04,WM,4.0,2008,W,M
1,FAILURE TO APPEAR,25,6120061,PAPD,229349,2008-03-01,2008-03-01,BM,0.0,2008,B,M
2,FAILURE TO APPEAR,25,7120061,PAPD,229349,2008-03-01,2008-03-01,BM,0.0,2008,B,M
3,PUBLIC INTOXICATION,25,120061,PAPD,229349,2008-03-01,2008-03-01,BM,0.0,2008,B,M
1,FAILURE TO APPEAR,25,9140606,PAPD,264006,2008-03-01,2008-03-04,BF,3.0,2008,B,F
2,PUBLIC INTOXICATION,25,140606,PAPD,264006,2008-03-01,2008-03-04,BF,3.0,2008,B,F
3,FAILURE TO APPEAR,0,9128362,PAPD,264006,2008-03-01,2008-03-04,BF,3.0,2008,B,F
4,ALCOHOL-MAKE AVAIL TO MINOR,0,128362,PAPD,264006,2008-03-01,2008-03-04,BF,3.0,2008,B,F
5,THEFT-CLASS C,0,116068,PAPD,264006,2008-03-01,2008-03-04,BF,3.0,2008,B,F
1,FAILURE TO APPEAR,25,9135971,PAPD,77160,2008-03-02,2008-03-02,WM,0.0,2008,W,M
2,FAILURE TO APPEAR,25,9140079,PAPD,77160,2008-03-02,2008-03-02,WM,0.0,2008,W,M
3,STOP LIGHT- RUNNING,25,135971,PAPD,77160,2008-03-02,2008-03-02,WM,0.0,2008,W,M
4,FAILURE TO MNTN FINAN RESP,25,135971,PAPD,77160,2008-03-02,2008-03-02,WM,0.0,2008,W,M
5,STOP LIGHT- RUNNING,25,140079,PAPD,77160,2008-03-02,2008-03-02,WM,0.0,2008,W,M
6,SPEEDING,25,140079,PAPD,77160,2008-03-02,2008-03-02,WM,0.0,2008,W,M
1,PUBLIC INTOXICATION,25,0,PAPD,145010,2008-03-02,2008-03-04,BM,2.0,2008,B,M
1,PUBLIC INTOXICATION,25,0,PAPD,227781,2008-03-02,2008-03-02,WM,0.0,2008,W,M
1,FAILURE TO APPEAR,25,9140968,PAPD,238542,2008-03-02,2008-03-03,BF,1.0,2008,B,F
2,DRIVING-NO MVI STICKER,25,140968,PAPD,238542,2008-03-02,2008-03-03,BF,1.0,2008,B,F
1,TOBACCO-MINOR IN POSSESSION,0,109895,PAPD,250103,2008-03-02,2008-03-02,BM,0.0,2008,B,M
1,PUBLIC INTOXICATION,100,0,PAPD,260585,2008-03-02,2008-03-04,BM,2.0,2008,B,M
1,FAILURE TO APPEAR,0,9115854,PAPD,250354,2008-03-03,2008-03-19,BM,16.0,2008,B,M
2,FAILURE TO APPEAR,25,8135824,PAPD,250354,2008-03-03,2008-03-19,BM,16.0,2008,B,M
3,FAILURE TO APPEAR,25,9135824,PAPD,250354,2008-03-03,2008-03-19,BM,16.0,2008,B,M
1,PUBLIC INTOXICATION,25,0,PAPD,80666,2008-03-04,2008-03-04,WM,0.0,2008,W,M
1,PUBLIC INTOXICATION,25,0,PAPD,82237,2008-03-04,2008-03-06,BM,2.0,2008,B,M
1,CITY ORDINANCE,25,0,PAPD,99734,2008-03-04,2008-03-05,BM,1.0,2008,B,M
1,PUBLIC INTOXICATION,25,0,PAPD,252036,2008-03-04,2008-03-04,BF,0.0,2008,B,F
1,DISORDERLY CONDUCT,0,144370,PAPD,263886,2008-03-04,2008-03-11,BM,7.0,2008,B,M
2,FAILURE TO APPEAR,25,9146541,PAPD,263886,2008-03-04,2008-03-11,BM,7.0,2008,B,M
3,DISORDERLY CONDUCT,25,146541,PAPD,263886,2008-03-04,2008-03-11,BM,7.0,2008,B,M
4,FAILURE TO APPEAR,25,9143016,PAPD,263886,2008-03-04,2008-03-11,BM,7.0,2008,B,M
5,DISORDERLY CONDUCT,25,143016,PAPD,263886,2008-03-04,2008-03-11,BM,7.0,2008,B,M
1,PUBLIC INTOXICATION,25,0,PAPD,273233,2008-03-04,2008-03-06,WM,2.0,2008,W,M
1,FAILURE TO APPEAR,25,9132237,PAPD,198581,2008-03-05,2008-03-05,WM,0.0,2008,W,M
2,DRIVING-WHILE LIC INVALID,25,132237,PAPD,198581,2008-03-05,2008-03-05,WM,0.0,2008,W,M
1,FAILURE TO APPEAR,25,9145989,PAPD,230995,2008-03-05,2008-03-11,BM,6.0,2008,B,M
2,FAILURE TO MNTN FINAN RESP,25,145989,PAPD,230995,2008-03-05,2008-03-11,BM,6.0,2008,B,M
3,SPEEDING,25,145989,PAPD,230995,2008-03-05,2008-03-11,BM,6.0,2008,B,M
1,FAILURE TO APPEAR,25,9148735,PAPD,247865,2008-03-05,2008-03-09,BM,4.0,2008,B,M
2,PUBLIC INTOXICATION,25,148735,PAPD,247865,2008-03-05,2008-03-09,BM,4.0,2008,B,M
1,DRIVING-NO DRIVERS LICENSE,0,139546,PAPD,196645,2008-03-06,2008-03-11,WM,5.0,2008,W,M
2,FAILURE TO MNTN FINAN RESP,0,139546,PAPD,196645,2008-03-06,2008-03-11,WM,5.0,2008,W,M
1,TRAFFIC IN CHILDREN U/15 YR,0,136430,PAPD,278916,2008-03-06,2008-03-12,BF,6.0,2008,B,F
2,TRAFFIC IN CHILDREN U/15 YR,0,136430,PAPD,278916,2008-03-06,2008-03-12,BF,6.0,2008,B,F
3,SPEEDING,0,141205,PAPD,278916,2008-03-06,2008-03-12,BF,6.0,2008,B,F
1,PUBLIC INTOXICATION,25,0,PAPD,238338,2008-03-07,2008-03-07,WF,0.0,2008,W,F
1,DISORDERLY CONDUCT,25,0,PAPD,278941,2008-03-07,2008-03-07,WF,0.0,2008,W,F
1,FAILURE TO APPEAR,25,9146367,PAPD,127414,2008-03-08,2008-03-12,WF,4.0,2008,W,F
2,PUBLIC INTOXICATION,25,146367,PAPD,127414,2008-03-08,2008-03-12,WF,4.0,2008,W,F
1,FAILURE TO APPEAR,25,9146364,PAPD,251624,2008-03-08,2008-03-08,BM,0.0,2008,B,M
2,FAILURE TO APPEAR,25,9146383,PAPD,251624,2008-03-08,2008-03-08,BM,0.0,2008,B,M
3,PUBLIC INTOXICATION,25,146364,PAPD,251624,2008-03-08,2008-03-08,BM,0.0,2008,B,M
4,DRIVING-WHILE LIC INVALID,25,146383,PAPD,251624,2008-03-08,2008-03-08,BM,0.0,2008,B,M
5,SPEED-FAILURE TO CONTROL,25,146383,PAPD,251624,2008-03-08,2008-03-08,BM,0.0,2008,B,M
6,FAILURE TO MNTN FINAN RESP,25,146383,PAPD,251624,2008-03-08,2008-03-08,BM,0.0,2008,B,M
1,DISORDERLY CONDUCT,25,0,PAPD,36528,2008-03-09,2008-03-09,BM,0.0,2008,B,M
1,PUBLIC INTOXICATION,25,0,PAPD,181599,2008-03-09,2008-03-09,BM,0.0,2008,B,M
1,ASSAULT-FAMILY,25,0,PAPD,233162,2008-03-09,2008-03-12,BM,3.0,2008,B,M
1,DRIVING-D.L. VIOLATION,0,137219,PAPD,28230,2008-03-10,2008-03-13,BM,3.0,2008,B,M
2,DRIVING-NO MVI STICKER,0,137219,PAPD,28230,2008-03-10,2008-03-13,BM,3.0,2008,B,M
3,FAILURE TO MNTN FINAN RESP,0,137219,PAPD,28230,2008-03-10,2008-03-13,BM,3.0,2008,B,M
1,DRIVING-WHILE LIC INVALID,0,135900,PAPD,216664,2008-03-10,2008-03-19,BM,9.0,2008,B,M
2,FAILURE TO MNTN FINAN RESP,0,135900,PAPD,216664,2008-03-10,2008-03-19,BM,9.0,2008,B,M
3,DRIVING-EXPIRED LIC. PLATE,0,135900,PAPD,216664,2008-03-10,2008-03-19,BM,9.0,2008,B,M
4,SPEEDING,0,135900,PAPD,216664,2008-03-10,2008-03-19,BM,9.0,2008,B,M
1,DRIVING-NO DRIVERS LICENSE,0,134185,PAPD,245881,2008-03-10,2008-03-10,WM,0.0,2008,W,M
2,CITY APPEAL - ASSAULT,0,134185,PAPD,245881,2008-03-10,2008-03-10,WM,0.0,2008,W,M
1,FAILURE TO APPEAR,25,9138873,PAPD,278992,2008-03-10,2008-03-10,WF,0.0,2008,W,F
2,SPEEDING,25,9138873,PAPD,278992,2008-03-10,2008-03-10,WF,0.0,2008,W,F
1,PUBLIC INTOXICATION,25,0,PAPD,219556,2008-03-11,2008-03-12,WM,1.0,2008,W,M
1,FAILURE TO APPEAR,25,9148430,PAPD,238726,2008-03-11,2008-03-19,WM,8.0,2008,W,M
2,DRIVING-WHILE LIC INVALID,25,148430,PAPD,238726,2008-03-11,2008-03-19,WM,8.0,2008,W,M
3,FAILURE TO MNTN FINAN RESP,25,148430,PAPD,238726,2008-03-11,2008-03-19,WM,8.0,2008,W,M
4,FAILURE TO APPEAR,25,9148363,PAPD,238726,2008-03-11,2008-03-19,WM,8.0,2008,W,M
5,DRIVING-WHILE LIC INVALID,25,148363,PAPD,238726,2008-03-11,2008-03-19,WM,8.0,2008,W,M
6,STOP SIGN- RUNNING,25,148363,PAPD,238726,2008-03-11,2008-03-19,WM,8.0,2008,W,M
7,FAILURE TO MNTN FINAN RESP,25,148363,PAPD,238726,2008-03-11,2008-03-19,WM,8.0,2008,W,M
8,DRIVING-EXPIRED LIC. PLATE,25,148363,PAPD,238726,2008-03-11,2008-03-19,WM,8.0,2008,W,M
9,FAILURE TO APPEAR,25,0,PAPD,238726,2008-03-11,2008-03-19,WM,8.0,2008,W,M
10,PUBLIC INTOXICATION,25,141725,PAPD,238726,2008-03-11,2008-03-19,WM,8.0,2008,W,M
1,DISORDERLY CONDUCT,25,0,PAPD,241472,2008-03-11,2008-03-11,BM,0.0,2008,B,M
1,FAILURE TO APPEAR,25,8134682,PAPD,247027,2008-03-11,2008-03-11,BF,0.0,2008,B,F
2,CONTEMPT OF COURT,25,9134682,PAPD,247027,2008-03-11,2008-03-11,BF,0.0,2008,B,F
3,WRONG SIDE ROAD-NOT PASSING,25,134682,PAPD,247027,2008-03-11,2008-03-11,BF,0.0,2008,B,F
1,THEFT-CLASS C,0,137770,PAPD,255859,2008-03-11,2008-03-12,BM,1.0,2008,B,M
1,FAILURE TO APPEAR,25,8137597,PAPD,267021,2008-03-11,2008-03-11,BM,0.0,2008,B,M
2,FAILURE TO APPEAR,25,9137597,PAPD,267021,2008-03-11,2008-03-11,BM,0.0,2008,B,M
3,STOP SIGN- RUNNING,25,137597,PAPD,267021,2008-03-11,2008-03-11,BM,0.0,2008,B,M
4,STOP SIGN- RUNNING,25,137597,PAPD,267021,2008-03-11,2008-03-11,BM,0.0,2008,B,M
5,FAILURE TO MNTN FINAN RESP,25,137597,PAPD,267021,2008-03-11,2008-03-11,BM,0.0,2008,B,M
1,DRIVING-WHILE LIC INVALID,0,138249,PAPD,279017,2008-03-11,2008-03-11,BM,0.0,2008,B,M
1,CITY ORDINANCE,25,0,PAPD,43094,2008-03-12,2008-03-13,BM,1.0,2008,B,M
1,PUBLIC INTOXICATION,25,0,PAPD,5621,2008-03-13,2008-03-13,WM,0.0,2008,W,M
1,PUBLIC INTOXICATION,25,0,PAPD,219556,2008-03-13,2008-03-13,WM,0.0,2008,W,M
1,DISORDERLY CONDUCT,25,0,PAPD,222857,2008-03-13,2008-03-17,BM,4.0,2008,B,M
1,FAILURE TO APPEAR,25,9148830,PAPD,261596,2008-03-13,2008-03-14,WF,1.0,2008,W,F
2,STOP LIGHT- RUNNING,25,148830,PAPD,261596,2008-03-13,2008-03-14,WF,1.0,2008,W,F
1,DISORDERLY CONDUCT,0,57359,PAPD,262798,2008-03-13,2008-03-17,BM,4.0,2008,B,M
1,FAILURE TO APPEAR,25,9147314,PAPD,270230,2008-03-13,2008-03-13,WM,0.0,2008,W,M
2,STOP LIGHT- RUNNING,25,147314,PAPD,270230,2008-03-13,2008-03-13,WM,0.0,2008,W,M
3,FAILURE TO MNTN FINAN RESP,25,147314,PAPD,270230,2008-03-13,2008-03-13,WM,0.0,2008,W,M
1,PUBLIC INTOXICATION,25,0,PAPD,8344,2008-03-14,2008-03-17,BM,3.0,2008,B,M
1,DISORDERLY CONDUCT,25,0,PAPD,179542,2008-03-14,2008-03-18,BF,4.0,2008,B,F
1,STOP SIGN- RUNNING,0,128763,PAPD,279074,2008-03-14,2008-03-14,BF,0.0,2008,B,F
1,SPEEDING,0,135827,PAPD,279075,2008-03-14,2008-03-14,WF,0.0,2008,W,F
1,PUBLIC INTOXICATION,25,0,PAPD,84859,2008-03-15,2008-03-15,BM,0.0,2008,B,M
1,DRIVING-WHILE LIC EXPIRED,0,18379,PAPD,128826,2008-03-15,2008-03-15,BM,0.0,2008,B,M
1,DRIVING-WHILE LIC INVALID,0,111166,PAPD,220588,2008-03-15,2008-03-16,WM,1.0,2008,W,M
2,FAILURE TO MNTN FINAN RESP,0,111166,PAPD,220588,2008-03-15,2008-03-16,WM,1.0,2008,W,M
1,FAILURE TO APPEAR,25,9145938,PAPD,238942,2008-03-15,2008-03-15,BM,0.0,2008,B,M
2,DRIVING-WHILE LIC INVALID,25,145938,PAPD,238942,2008-03-15,2008-03-15,BM,0.0,2008,B,M
3,FAILURE TO MNTN FINAN RESP,25,145938,PAPD,238942,2008-03-15,2008-03-15,BM,0.0,2008,B,M
1,PUBLIC INTOXICATION,0,140998,PAPD,246137,2008-03-15,2008-03-17,WM,2.0,2008,W,M
2,FAILURE TO APPEAR,0,9117825,PAPD,246137,2008-03-15,2008-03-17,WM,2.0,2008,W,M
3,FAILURE TO APPEAR,0,9119211,PAPD,246137,2008-03-15,2008-03-17,WM,2.0,2008,W,M
4,DRIVING-WHILE LIC INVALID,0,119211,PAPD,246137,2008-03-15,2008-03-17,WM,2.0,2008,W,M
5,DRIVING-NO MVI STICKER,0,119211,PAPD,246137,2008-03-15,2008-03-17,WM,2.0,2008,W,M
6,FAILURE TO MNTN FINAN RESP,0,119211,PAPD,246137,2008-03-15,2008-03-17,WM,2.0,2008,W,M
7,SPEEDING,0,119211,PAPD,246137,2008-03-15,2008-03-17,WM,2.0,2008,W,M
8,DRIVING-WHILE LIC INVALID,0,117825,PAPD,246137,2008-03-15,2008-03-17,WM,2.0,2008,W,M
9,DRIVING-NO MVI STICKER,0,0,PAPD,246137,2008-03-15,2008-03-17,WM,2.0,2008,W,M
10,FAILURE TO APPEAR,0,9110823,PAPD,246137,2008-03-15,2008-03-17,WM,2.0,2008,W,M
1,DRIVING-NO DRIVERS LICENSE,25,0,PAPD,267918,2008-03-15,2008-03-15,BM,0.0,2008,B,M
1,FAILURE TO APPEAR,25,9103115,PAPD,28660,2008-03-16,2008-03-21,WM,5.0,2008,W,M
2,PUBLIC INTOXICATION,25,103115,PAPD,28660,2008-03-16,2008-03-21,WM,5.0,2008,W,M
1,ASSAULT-SIMPLE,25,0,PAPD,95618,2008-03-16,2008-03-17,BM,1.0,2008,B,M
1,CITY ORDINANCE,0,136666,PAPD,279099,2008-03-16,2008-03-18,WF,2.0,2008,W,F
1,CITY ORDINANCE,25,0,PAPD,16064,2008-03-17,2008-03-17,BM,0.0,2008,B,M
1,DRIVING-WHILE LIC INVALID,0,143214,PAPD,109326,2008-03-18,2008-03-19,BM,1.0,2008,B,M
2,DRIVING-EXPIRED LIC. PLATE,0,143214,PAPD,109326,2008-03-18,2008-03-19,BM,1.0,2008,B,M
1,FAILURE TO APPEAR,25,9143216,PAPD,133698,2008-03-18,2008-03-25,BM,7.0,2008,B,M
2,CITY ORDINANCE,25,143216,PAPD,133698,2008-03-18,2008-03-25,BM,7.0,2008,B,M
3,DRUG PARAPHERNALIA-POSS,25,143216,PAPD,133698,2008-03-18,2008-03-25,BM,7.0,2008,B,M
1,PUBLIC INTOXICATION,25,0,PAPD,216202,2008-03-18,2008-03-19,WM,1.0,2008,W,M
1,CITY ORDINANCE,25,0,PAPD,27344,2008-03-19,2008-03-20,BM,1.0,2008,B,M
1,CITY ORDINANCE,25,0,PAPD,32248,2008-03-19,2008-03-21,WF,2.0,2008,W,F
1,CITY ORDINANCE,25,0,PAPD,35765,2008-03-19,2008-03-20,BM,1.0,2008,B,M
1,CITY ORDINANCE,25,0,PAPD,77735,2008-03-19,2008-03-20,BM,1.0,2008,B,M
1,CITY ORDINANCE,25,0,PAPD,83127,2008-03-19,2008-03-21,WM,2.0,2008,W,M
1,CITY ORDINANCE,25,0,PAPD,87312,2008-03-19,2008-03-20,BM,1.0,2008,B,M
1,CITY ORDINANCE,25,0,PAPD,156894,2008-03-19,2008-03-20,BF,1.0,2008,B,F
1,PUBLIC INTOXICATION,25,0,PAPD,166419,2008-03-19,2008-03-21,WF,2.0,2008,W,F
1,FAILURE TO APPEAR,0,9128747,PAPD,274324,2008-03-19,2008-03-23,WF,4.0,2008,W,F
2,FAILURE TO MNTN FINAN RESP,0,128747,PAPD,274324,2008-03-19,2008-03-23,WF,4.0,2008,W,F
1,CITY ORDINANCE,25,0,PAPD,276539,2008-03-19,2008-03-20,WM,1.0,2008,W,M
1,FAILURE TO APPEAR,25,9145493,PAPD,79141,2008-03-20,2008-03-22,WM,2.0,2008,W,M
2,CITY ORDINANCE,25,145493,PAPD,79141,2008-03-20,2008-03-22,WM,2.0,2008,W,M
1,CITY ORDINANCE,0,121248,PAPD,248739,2008-03-20,2008-03-20,BF,0.0,2008,B,F
1,FAILURE TO APPEAR,25,9141084,PAPD,251713,2008-03-20,2008-03-21,BF,1.0,2008,B,F
2,FAILURE TO IDENTIFY,25,141004,PAPD,251713,2008-03-20,2008-03-21,BF,1.0,2008,B,F
3,THEFT-CLASS C,25,141084,PAPD,251713,2008-03-20,2008-03-21,BF,1.0,2008,B,F
4,FAILURE TO APPEAR,25,9137718,PAPD,251713,2008-03-20,2008-03-21,BF,1.0,2008,B,F
5,FAILURE TO MNTN FINAN RESP,25,137718,PAPD,251713,2008-03-20,2008-03-21,BF,1.0,2008,B,F
6,FAILURE TO APPEAR,25,8132026,PAPD,251713,2008-03-20,2008-03-21,BF,1.0,2008,B,F
7,FAILURE TO APPEAR,25,9132026,PAPD,251713,2008-03-20,2008-03-21,BF,1.0,2008,B,F
